time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,TeamName,HRDeviceTypeId
30-04-2021 21:36,152,80,6.3,306,25,5,Bangalore,3
30-04-2021 21:37,152,86,6.3,306,25,5,Bangalore,3
30-04-2021 21:38,152,82,6.3,306,25,5,Bangalore,3
30-04-2021 21:39,152,88,6.3,306,26,5,Bangalore,3
30-04-2021 21:40,152,89,6.3,306,26,5,Bangalore,3
30-04-2021 21:41,152,78,6.3,306,26,5,Bangalore,3
30-04-2021 21:42,152,87,6.3,306,26,5,Bangalore,3
30-04-2021 21:43,152,80,6.3,306,26,5,Bangalore,3
30-04-2021 21:44,152,78,6.3,306,26,5,Bangalore,3
30-04-2021 21:45,152,81,6.3,306,26,5,Bangalore,3
30-04-2021 21:46,152,75,6.3,306,26,5,Bangalore,3
30-04-2021 21:47,152,74,6.3,306,26,5,Bangalore,3
30-04-2021 21:48,152,90,6.8,306,26,5,Bangalore,3
30-04-2021 21:49,152,70,6.3,306,26,5,Bangalore,3
30-04-2021 21:50,152,88,6.3,612,52,10,Bangalore,3
30-04-2021 21:51,152,74,6.3,306,26,5,Bangalore,3
30-04-2021 21:52,152,82,6.3,306,26,5,Bangalore,3
30-04-2021 21:53,152,85,6.3,306,26,5,Bangalore,3
30-04-2021 21:54,152,82,6.3,306,26,5,Bangalore,3
30-04-2021 21:55,152,97,6.8,306,26,5,Bangalore,3
30-04-2021 21:56,152,85,6.3,306,26,5,Bangalore,3
30-04-2021 21:57,152,72,6.3,306,26,5,Bangalore,3
30-04-2021 21:58,152,82,6.3,306,26,5,Bangalore,3
30-04-2021 21:59,152,92,6.8,306,26,5,Bangalore,3
30-04-2021 22:00,152,78,6.3,306,26,5,Bangalore,3
30-04-2021 22:01,152,86,6.3,306,26,5,Bangalore,3
30-04-2021 22:02,152,89,6.3,306,26,5,Bangalore,3
30-04-2021 22:03,152,66,4.2,306,26,5,Bangalore,3
30-04-2021 22:04,152,85,6.3,306,26,5,Bangalore,3
30-04-2021 22:05,152,97,6.8,306,26,5,Bangalore,3
30-04-2021 22:06,152,79,6.3,306,26,5,Bangalore,3
30-04-2021 22:07,152,89,6.3,306,26,5,Bangalore,3
30-04-2021 22:08,152,98,6.8,306,26,5,Bangalore,3
30-04-2021 22:09,152,80,6.3,306,26,5,Bangalore,3
30-04-2021 22:10,152,90,6.8,306,26,5,Bangalore,3
30-04-2021 22:11,152,80,6.3,306,26,5,Bangalore,3
30-04-2021 22:12,152,74,6.3,306,26,5,Bangalore,3
30-04-2021 22:13,152,118,8,306,26,5,Bangalore,3
30-04-2021 22:14,152,76,6.3,306,26,5,Bangalore,3
30-04-2021 22:15,152,80,6.3,306,26,5,Bangalore,3
30-04-2021 22:16,152,85,6.3,306,26,5,Bangalore,3
30-04-2021 22:17,152,84,6.3,306,26,5,Bangalore,3
30-04-2021 22:18,152,82,6.3,306,26,5,Bangalore,3
30-04-2021 22:19,152,87,6.3,306,26,5,Bangalore,3
30-04-2021 22:20,152,88,6.3,306,26,5,Bangalore,3
30-04-2021 22:21,152,86,6.3,306,26,5,Bangalore,3
30-04-2021 22:22,152,83,6.3,306,26,5,Bangalore,3
30-04-2021 22:23,152,75,6.3,306,26,5,Bangalore,3
30-04-2021 22:24,152,79,6.3,306,26,5,Bangalore,3
30-04-2021 22:25,152,82,6.3,306,26,5,Bangalore,3
30-04-2021 22:26,152,74,6.3,306,26,5,Bangalore,3
30-04-2021 22:27,152,85,6.3,306,26,5,Bangalore,3
30-04-2021 22:28,152,89,6.3,306,26,5,Bangalore,3
30-04-2021 22:29,152,84,6.3,306,26,5,Bangalore,3
30-04-2021 22:30,152,86,6.3,306,26,5,Bangalore,3
30-04-2021 22:31,152,96,6.8,306,26,5,Bangalore,3
30-04-2021 22:32,152,80,6.3,306,26,5,Bangalore,3
30-04-2021 22:33,152,86,6.3,306,26,5,Bangalore,3
